Date,Year,Quarter,Month,Month_Number,Month_Name,Month_Short,Year_Month,Day_of_Month,Day_Name,Day_of_Week,Is_Weekend
2020-10-23,2020,Q4,10,10,October,Oct,2020-10,23,Friday,5,Weekday
2020-10-24,2020,Q4,10,10,October,Oct,2020-10,24,Saturday,6,Weekend
2020-10-25,2020,Q4,10,10,October,Oct,2020-10,25,Sunday,7,Weekend
2020-10-26,2020,Q4,10,10,October,Oct,2020-10,26,Monday,1,Weekday
2020-10-27,2020,Q4,10,10,October,Oct,2020-10,27,Tuesday,2,Weekday
2020-10-28,2020,Q4,10,10,October,Oct,2020-10,28,Wednesday,3,Weekday
2020-10-29,2020,Q4,10,10,October,Oct,2020-10,29,Thursday,4,Weekday
2020-10-30,2020,Q4,10,10,October,Oct,2020-10,30,Friday,5,Weekday
2020-10-31,2020,Q4,10,10,October,Oct,2020-10,31,Saturday,6,Weekend
2020-11-01,2020,Q4,11,11,November,Nov,2020-11,1,Sunday,7,Weekend
2020-11-02,2020,Q4,11,11,November,Nov,2020-11,2,Monday,1,Weekday
2020-11-03,2020,Q4,11,11,November,Nov,2020-11,3,Tuesday,2,Weekday
2020-11-04,2020,Q4,11,11,November,Nov,2020-11,4,Wednesday,3,Weekday
2020-11-05,2020,Q4,11,11,November,Nov,2020-11,5,Thursday,4,Weekday
2020-11-06,2020,Q4,11,11,November,Nov,2020-11,6,Friday,5,Weekday
2020-11-07,2020,Q4,11,11,November,Nov,2020-11,7,Saturday,6,Weekend
2020-11-08,2020,Q4,11,11,November,Nov,2020-11,8,Sunday,7,Weekend
2020-11-09,2020,Q4,11,11,November,Nov,2020-11,9,Monday,1,Weekday
2020-11-10,2020,Q4,11,11,November,Nov,2020-11,10,Tuesday,2,Weekday
2020-11-11,2020,Q4,11,11,November,Nov,2020-11,11,Wednesday,3,Weekday
2020-11-12,2020,Q4,11,11,November,Nov,2020-11,12,Thursday,4,Weekday
2020-11-13,2020,Q4,11,11,November,Nov,2020-11,13,Friday,5,Weekday
2020-11-14,2020,Q4,11,11,November,Nov,2020-11,14,Saturday,6,Weekend
2020-11-15,2020,Q4,11,11,November,Nov,2020-11,15,Sunday,7,Weekend
