Date,Year,Quarter,Month,Month_Number,Month_Name,Month_Short,Year_Month,Day_of_Month,Day_Name,Day_of_Week,Is_Weekend
2020-03-13,2020,Q1,3,3,March,Mar,2020-03,13,Friday,5,Weekday
2020-03-14,2020,Q1,3,3,March,Mar,2020-03,14,Saturday,6,Weekend
2020-03-15,2020,Q1,3,3,March,Mar,2020-03,15,Sunday,7,Weekend
2020-03-16,2020,Q1,3,3,March,Mar,2020-03,16,Monday,1,Weekday
2020-03-17,2020,Q1,3,3,March,Mar,2020-03,17,Tuesday,2,Weekday
2020-03-18,2020,Q1,3,3,March,Mar,2020-03,18,Wednesday,3,Weekday
2020-03-19,2020,Q1,3,3,March,Mar,2020-03,19,Thursday,4,Weekday
2020-03-20,2020,Q1,3,3,March,Mar,2020-03,20,Friday,5,Weekday
2020-03-21,2020,Q1,3,3,March,Mar,2020-03,21,Saturday,6,Weekend
2020-03-22,2020,Q1,3,3,March,Mar,2020-03,22,Sunday,7,Weekend
2020-03-23,2020,Q1,3,3,March,Mar,2020-03,23,Monday,1,Weekday
2020-03-24,2020,Q1,3,3,March,Mar,2020-03,24,Tuesday,2,Weekday
2020-03-25,2020,Q1,3,3,March,Mar,2020-03,25,Wednesday,3,Weekday
2020-03-26,2020,Q1,3,3,March,Mar,2020-03,26,Thursday,4,Weekday
2020-03-27,2020,Q1,3,3,March,Mar,2020-03,27,Friday,5,Weekday
2020-03-28,2020,Q1,3,3,March,Mar,2020-03,28,Saturday,6,Weekend
2020-03-29,2020,Q1,3,3,March,Mar,2020-03,29,Sunday,7,Weekend
2020-03-30,2020,Q1,3,3,March,Mar,2020-03,30,Monday,1,Weekday
2020-03-31,2020,Q1,3,3,March,Mar,2020-03,31,Tuesday,2,Weekday
2020-04-01,2020,Q2,4,4,April,Apr,2020-04,1,Wednesday,3,Weekday
2020-04-02,2020,Q2,4,4,April,Apr,2020-04,2,Thursday,4,Weekday
2020-04-03,2020,Q2,4,4,April,Apr,2020-04,3,Friday,5,Weekday
2020-04-04,2020,Q2,4,4,April,Apr,2020-04,4,Saturday,6,Weekend
2020-04-05,2020,Q2,4,4,April,Apr,2020-04,5,Sunday,7,Weekend
2020-04-06,2020,Q2,4,4,April,Apr,2020-04,6,Monday,1,Weekday
2020-04-07,2020,Q2,4,4,April,Apr,2020-04,7,Tuesday,2,Weekday
2020-04-08,2020,Q2,4,4,April,Apr,2020-04,8,Wednesday,3,Weekday
2020-04-09,2020,Q2,4,4,April,Apr,2020-04,9,Thursday,4,Weekday
2020-04-10,2020,Q2,4,4,April,Apr,2020-04,10,Friday,5,Weekday
2020-04-11,2020,Q2,4,4,April,Apr,2020-04,11,Saturday,6,Weekend
2020-04-12,2020,Q2,4,4,April,Apr,2020-04,12,Sunday,7,Weekend
2020-04-13,2020,Q2,4,4,April,Apr,2020-04,13,Monday,1,Weekday
2020-04-14,2020,Q2,4,4,April,Apr,2020-04,14,Tuesday,2,Weekday
2020-04-15,2020,Q2,4,4,April,Apr,2020-04,15,Wednesday,3,Weekday
2020-04-16,2020,Q2,4,4,April,Apr,2020-04,16,Thursday,4,Weekday
2020-04-17,2020,Q2,4,4,April,Apr,2020-04,17,Friday,5,Weekday
2020-04-18,2020,Q2,4,4,April,Apr,2020-04,18,Saturday,6,Weekend
2020-04-19,2020,Q2,4,4,April,Apr,2020-04,19,Sunday,7,Weekend
2020-04-20,2020,Q2,4,4,April,Apr,2020-04,20,Monday,1,Weekday
2020-04-21,2020,Q2,4,4,April,Apr,2020-04,21,Tuesday,2,Weekday
2020-04-22,2020,Q2,4,4,April,Apr,2020-04,22,Wednesday,3,Weekday
2020-04-23,2020,Q2,4,4,April,Apr,2020-04,23,Thursday,4,Weekday
2020-04-24,2020,Q2,4,4,April,Apr,2020-04,24,Friday,5,Weekday
2020-04-25,2020,Q2,4,4,April,Apr,2020-04,25,Saturday,6,Weekend
2020-04-26,2020,Q2,4,4,April,Apr,2020-04,26,Sunday,7,Weekend
2020-04-27,2020,Q2,4,4,April,Apr,2020-04,27,Monday,1,Weekday
